project_key	kind	module_id	name	domain	edition	profiles	provides_feature	entrypoint_class	declared_types	depends_on	contracts_used	docs	tests	purpose
modules/core/api	core	core-api	Api	core	shared	veritas,vocations,visions,vorago	no	-	com.verbum_minecraft.api.content.BookDef,com.verbum_minecraft.api.content.ContentSink,com.verbum_minecraft.api.content.ContentType,com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.api.content.ItemDef,com.verbum_minecraft.api.content.LibraryBookDef,com.verbum_minecraft.api.content.VerbumId,com.verbum_minecraft.api.energy.Energy,com.verbum_minecraft.api.fluid.Fluid	-	-	no	none	-
modules/core/baseline/content-code	core	core-content-code	Content Code	core	veritas	veritas,vocations,visions,vorago	no	-	-	-	-	no	none	-
modules/core/baseline/content-data	core	core-content-data	Content Data	core	veritas	veritas,vocations,visions,vorago	no	-	-	-	-	no	none	-
modules/core/baseline/feature-core	core	core-feature-core	Feature Core	core	veritas	veritas,vocations,visions,vorago	yes	com.verbum_minecraft.feature_core.CoreFeature	com.verbum_minecraft.feature_core.CoreFeature	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.spi.FeatureEntrypoint	no	none	-
modules/core/baseline/vanilla-core	core	core-vanilla-core	Vanilla Core	core	veritas	veritas,vocations,visions,vorago	no	-	-	-	-	no	none	-
modules/core/runtime	core	core-runtime	Runtime	core	shared	veritas,vocations,visions,vorago	no	-	-	core-api,core-spi	-	no	none	-
modules/core/sim-kernel	core	core-sim-kernel	Sim Kernel	core	shared	veritas,vocations,visions,vorago	no	-	-	core-api,core-spi	-	no	none	-
modules/core/spi	core	core-spi	Spi	core	shared	veritas,vocations,visions,vorago	no	-	com.verbum_minecraft.spi.FeatureEntrypoint	core-api	com.verbum_minecraft.api.content.FeatureContext	no	none	-
modules/core/ux-framework	core	core-ux-framework	Ux Framework	core	shared	veritas,vocations,visions,vorago	no	-	-	core-api,core-spi,core-runtime	-	no	none	-
modules/features/library/bible	capsule	feature-bible	Bible	library	veritas	veritas,vocations,visions,vorago	yes	com.verbum_minecraft.features.library.bible.BibleFeature	com.verbum_minecraft.features.library.bible.BibleFeature	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.api.content.ItemDef,com.verbum_minecraft.api.content.LibraryBookDef,com.verbum_minecraft.api.content.VerbumId,com.verbum_minecraft.spi.FeatureEntrypoint	yes	none	This capsule provides the Bible item definition and related feature wiring for Verbum.
modules/features/library/book-enhancement	capsule	feature-book-enhancement	Book Enhancement	library	veritas	veritas,vocations,visions,vorago	yes	com.verbum_minecraft.features.library.bookenhancement.BookEnhancementFeature	com.verbum_minecraft.features.library.bookenhancement.BookBookmark,com.verbum_minecraft.features.library.bookenhancement.BookBookmarkStore,com.verbum_minecraft.features.library.bookenhancement.BookChapter,com.verbum_minecraft.features.library.bookenhancement.BookContentSource,com.verbum_minecraft.features.library.bookenhancement.BookEnhancementFeature,com.verbum_minecraft.features.library.bookenhancement.BookId,com.verbum_minecraft.features.library.bookenhancement.BookLineBreaker,com.verbum_minecraft.features.library.bookenhancement.BookPageLimits	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.spi.FeatureEntrypoint	yes	none	Provide a library-backed book system that allows very large books (e.g., the full Bible) to be read from a vanilla written book without storing megabytes in item NBT.
modules/features/library/book-of-hours	capsule	feature-book-of-hours	Book Of Hours	library	vocations	vocations,visions,vorago	yes	com.verbum_minecraft.features.library.bookofhours.BookOfHoursFeature	com.verbum_minecraft.features.library.bookofhours.BookOfHoursFeature	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.api.content.ItemDef,com.verbum_minecraft.api.content.LibraryBookDef,com.verbum_minecraft.api.content.VerbumId,com.verbum_minecraft.spi.FeatureEntrypoint	yes	none	Provide a cozy Vocations profile manual as a library-backed book item. The capsule introduces practical, player-facing orientation text for calm pastoral play without adding platform logic.
modules/features/library/dusty-devotional	capsule	feature-dusty-devotional	Dusty Devotional	library	veritas	veritas,vocations,visions,vorago	yes	com.verbum_minecraft.features.library.dustydevotional.DustyDevotionalFeature	com.verbum_minecraft.features.library.dustydevotional.DustyDevotionalFeature	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.api.content.ItemDef,com.verbum_minecraft.api.content.LibraryBookDef,com.verbum_minecraft.api.content.VerbumId,com.verbum_minecraft.spi.FeatureEntrypoint	yes	none	This capsule provides a Veritas profile manual as a library-backed book item. It offers a short orientation to how baseline Verbum should feel: clear, durable, and grounded.
modules/features/library/pilgrims-atlas	capsule	feature-pilgrims-atlas	Pilgrims Atlas	library	visions	visions,vorago	yes	com.verbum_minecraft.features.library.pilgrimsatlas.PilgrimsAtlasFeature	com.verbum_minecraft.features.library.pilgrimsatlas.PilgrimsAtlasFeature	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.api.content.ItemDef,com.verbum_minecraft.api.content.LibraryBookDef,com.verbum_minecraft.api.content.VerbumId,com.verbum_minecraft.spi.FeatureEntrypoint	yes	none	This capsule provides a Visions profile manual as a library-backed book item. It gives players a concise field-guide orientation to the flagship line: broad, luminous, and feature-rich.
modules/features/library/rule-of-ashes	capsule	feature-rule-of-ashes	Rule Of Ashes	library	vorago	vorago	yes	com.verbum_minecraft.features.library.ruleofashes.RuleOfAshesFeature	com.verbum_minecraft.features.library.ruleofashes.RuleOfAshesFeature	core-api,core-spi	com.verbum_minecraft.api.content.FeatureContext,com.verbum_minecraft.api.content.ItemDef,com.verbum_minecraft.api.content.LibraryBookDef,com.verbum_minecraft.api.content.VerbumId,com.verbum_minecraft.spi.FeatureEntrypoint	yes	none	This capsule adds a Vorago profile manual item, `Rule of Ashes`, as a library-backed book. It frames Vorago as Visions under harsher laws: pressure, scarcity, risk, and discipline.
modules/magic/visions-only/magic-base	magic	magic-base	Magic Base	magic	visions	visions,vorago	no	-	-	-	-	no	none	-
modules/tech/visions-only/tech-base	tech	tech-base	Tech Base	tech	visions	visions,vorago	no	-	-	-	-	no	none	-
modules/world/baseline/world-base	world	world-base	World Base	world	veritas	veritas,vocations,visions,vorago	no	-	-	-	-	no	none	-
